source,url,content
Sun,https://www.sunnewsonline.com/abductors-of-two-edo-school-pupils-demand-n100-million-ransom/,Abductors of two Edo school pupils demand N100 million ransom
Sun,https://www.sunnewsonline.com/ekiti-kidnappers-collect-n2-5m-cigarettes-milk-as-ransom/,"Ekiti: Kidnappers collect N2.5m, cigarettes, milk as ransom"
Sun,https://www.sunnewsonline.com/kidnap-8-demand-n50m-ransom-in-ekiti/,"…Kidnap 8, demand N50m ransom in Ekiti"
Sun,https://www.sunnewsonline.com/ekiti-gunmen-kidnap-eight-demand-n50m-ransom/,"Ekiti: Gunmen kidnap eight, demand N50m ransom"
Sun,https://www.sunnewsonline.com/gunmen-kidnap-ogun-youth-coordinator-demand-n30m-ransom/,"Gunmen Kidnap Ogun Youth Coordinator, Demand N30M Ransom"
Sun,https://www.sunnewsonline.com/financial-services-coys-spend-over-2m-on-ransomware-attack-recovery-survey/,Financial services coys spend over $2m on ransomware attack  recovery –Survey
Sun,https://www.sunnewsonline.com/2-suspected-kidnappers-arrested-at-point-of-ransom-collection/,2 suspected kidnappers arrested at point of ransom collection
Sun,https://www.sunnewsonline.com/sokoto-aftermath-of-telecoms-shutdown-bandits-reach-out-to-victims-families-through-letters-to-demand-for-ransom/,"Sokoto: Aftermath of telecoms shutdown, bandits reach-out to victims’ families through letters to demand for ransom"
Sun,https://www.sunnewsonline.com/reps-probe-nysc-over-ransom-payment-advisory-to-corps-members/,Reps probe NYSC over ransom payment advisory to Corps Members
Sun,https://www.sunnewsonline.com/fct-gunmen-abduct-pastors-wife-and-two-daughters-14-and-17/,"FCT: Pastor’s wife, two daughters abducted, N50 million ransom demanded"
Sun,https://www.sunnewsonline.com/bandits-abduct-district-head-demand-n100m-ransom-in-niger/,"Bandits abduct district head, demand N100m ransom in Niger"
Sun,https://www.sunnewsonline.com/niger-district-head-of-wawa-abducted-bandits-demand-n100-million-ransom/,"Niger: District head of Wawa abducted, bandits demand N100 million ransom"
Sun,https://www.sunnewsonline.com/gunmen-abduct-2-absu-lecturers-others-demand-ransom/,"Gunmen abduct 2 ABSU lecturers, others, demand ransom"
Sun,https://www.sunnewsonline.com/gunmen-abduct-2-absu-lecturers-others-demand-for-ransom/,"Gunmen abduct 2 ABSU lecturers, others, demand for ransom"
Sun,https://www.sunnewsonline.com/insecurity-southwest-paid-n3bn-ransom-lost-200-persons-to-kidnappers-in-two-years-aare-onakakanfo/,"Insecurity: Southwest paid N3bn ransom, lost 200 persons to kidnappers in two years – Aare Onakakanfo"
Sun,https://www.sunnewsonline.com/police-in-abia-arrest-kidnapping-gang-who-killed-victim-after-collecting-ransom/,Police in Abia arrest kidnapping gang who killed victim after collecting ransom
Sun,https://www.sunnewsonline.com/kwara-kidnappers-place-n30-million-ransom-on-victim/,Kwara: Kidnappers place N30 million ransom on victim
Sun,https://www.sunnewsonline.com/abductors-of-niger-commissioner-demand-n500-million-ransom/,BREAKING: Abductors of Niger commissioner demand N500 million ransom
Sun,https://www.sunnewsonline.com/ransom-shortfall-kidnappers-release-banker-detains-wife-father-in-law/,"Ransom shortfall: Kidnappers release banker, detains  wife , father-in-law "
Sun,https://www.sunnewsonline.com/kidnappers-demand-n300m-ransom-to-release-bayelsa-ssgs-mum/, Kidnappers demand N300m ransom to release Bayelsa SSG’s Mum
Sun,https://www.sunnewsonline.com/kaduna-monarchs-kidnappers-demand-n100m-ransom/,Kaduna monarch’s kidnappers demand N100m ransom
Sun,https://www.sunnewsonline.com/kidnappers-demand-n100-million-ransom-for-release-of-kpop-ham/,Kidnappers demand N100 million ransom for release of Kpop Ham
Sun,https://www.sunnewsonline.com/gunmen-abduct-2371-demands-n10bn-ransom-in-2021/,"Gunmen abduct 2,371, demands N10bn ransom in 2021"
Sun,https://www.sunnewsonline.com/kaduna-emir-of-kajurus-kidnapper-demand-n200-million-ransom/,Kaduna: Emir of Kajuru’s kidnapper demand N200 million ransom
Sun,https://www.sunnewsonline.com/kaduna-bandits-kidnap-15-demand-n180m-ransom/,"Kaduna: Bandits kidnap 15, demand N180m ransom"
Sun,https://www.sunnewsonline.com/gunmen-kidnap-man-son-in-law-other-demand-n30m-ransom/,"Gunmen kidnap man, son-in-law, other, demand N30m ransom"
Sun,https://www.sunnewsonline.com/edo-gunmen-abduct-elderly-man-son-in-law-other-demand-n30-million-ransom/,"Edo: Gunmen abduct elderly man, son-in-law, other, demand N30 million ransom"
Sun,https://www.sunnewsonline.com/ekiti-abducted-farmer-regains-freedom-after-paying-n2-million-ransom/,Ekiti: Abducted farmer regains freedom after paying N2 million ransom 
Sun,https://www.sunnewsonline.com/ekiti-abductors-of-farmer-demand-n30m-ransom/,Ekiti: Abductors of farmer demand N30m ransom
Sun,https://www.sunnewsonline.com/police-arrest-5-suspected-kidnappers-recover-ransom-weapons-charms/,"Police arrest 5 suspected kidnappers, recover ransom, weapons, charms"
Sun,https://www.sunnewsonline.com/criminalising-ransom-payment-a-psychopathic-option/,"Criminalising ransom payment, a psychopathic option"
Sun,https://www.sunnewsonline.com/be-wary-of-igvm-ransomware-nitda-warns-nigerians/,"Be wary of IGVM ransomware, NITDA warns Nigerians"
